,stage,cm,sex,lat,lon,area
,L,220,F,35.319,-9.109,EATL
,J,123,F,36.515,-7.797,EATL
,J,172,M,35.989,-11.92,EATL
,J,150,F,35.999,-8.842,EATL
,J,167,F,35.717,-10.065,EATL
,J,140,F,35.826,-9.541,EATL
,J,167,F,35.826,-9.541,EATL
,J,132,F,35.954,-8.056,EATL
,J,138,F,35.954,-8.056,EATL
,J,156,F,35.557,-8.06,EATL
,L,223,F,33.5313,-12.886,EATL
,L,204,F,33.5313,-12.886,EATL
,L,213,na,33.5313,-12.886,EATL
,J,155,M,33.5313,-12.886,EATL
,J,111,F,35.14449,-15.27649,EATL
,J,126,M,34.94029,-15.22355,EATL
,J,159,F,34.94029,-15.22355,EATL
,L,217,M,34.94029,-15.22355,EATL
,J,113,M,35.05055,-15.26733,EATL
,J,155,F,35.05055,-15.26733,EATL
,J,125,F,34.75576,-14.94765,EATL
,L,195,M,34.75576,-14.94765,EATL
,J,108,M,34.672,-14.98467,EATL
,J,141,F,34.672,-14.98467,EATL
,J,129,F,34.65121,-15.2189,EATL
,J,110,F,34.65121,-15.2189,EATL
,J,118,F,34.7913,-14.86506,EATL
,J,112,na,34.7913,-14.86506,EATL
,J,146,na,35.50049,-15.54588,EATL
,J,151,na,35.50049,-15.54588,EATL
,J,143,na,35.36358,-15.84149,EATL
,J,109,M,35.36358,-15.84149,EATL
,J,145,M,34.71592,-15.12928,EATL
,J,107,na,34.71592,-15.12928,EATL
,L,195,F,51.433,-5.583,NATL
,L,,F,51.45,-5.533,NATL
,L,,F,51.45,-5.616,NATL
,L,193,F,51.466,-10.15,NATL
,L,196,F,51.45,-10.15,NATL
,L,198,F,51.45,-10.15,NATL
,L,,F,51.433,-5.466,NATL
,L,190,F,51.55,-5.833,NATL
,L,,F,51.416,-5.516,NATL
,L,,F,51.483,-5.916,NATL
,L,,M,51.516,-5.9,NATL
,L,196,F,51.516,-5.866,NATL
,L,,F,51.6,-5.85,NATL
,L,200,F,51.45,-5.433,NATL
,L,190,F,51.416,-5.483,NATL
,L,200,F,51.45,-5.566,NATL
,L,205,F,49.816,-6.233,NATL
,L,150,M,49.816,-6.166,NATL
,L,207,F,49.916,-6.2,NATL
,L,135,M,49.816,-6.3,NATL
,L,213,F,49.816,-6.216,NATL
,L,182,F,49.833,-6.183,NATL
,L,185,F,49.816,-6.233,NATL
,L,175,F,50.066,-4.466,NATL
,L,215,F,50.05,-4.433,NATL
,L,200,F,50.066,-4.333,NATL
,L,200,F,50.083,-4.5,NATL
,L,193,F,50.066,-4.4,NATL
,L,216,F,51.466,-10.116,NATL
,L,175,F,51.466,-10.116,NATL
,J,106,F,42.788201,14.697559,EMED
,J,111,F,42.788201,14.697559,EMED
,J,110,F,42.788201,14.697559,EMED
,J,108,F,42.788201,14.697559,EMED
,J,116,M,42.788201,14.697559,EMED
,J,115,F,42.788201,14.697559,EMED
,J,100,M,42.788201,14.697559,EMED
,J,107,F,42.788201,14.697559,EMED
,J,108,M,42.788201,14.697559,EMED
,J,128,M,42.788201,14.697559,EMED
,J,110,M,42.788201,14.697559,EMED
,J,117,F,43.237997,14.764936,EMED
,J,104,F,43.237997,14.764936,EMED
,J,104,M,43.237997,14.764936,EMED
,J,119,F,43.237997,14.764936,EMED
,J,115,F,43.237997,14.764936,EMED
,J,107,M,43.237997,14.764936,EMED
,J,95,F,43.237997,14.764936,EMED
,J,120,M,43.237997,14.764936,EMED
,J,113,M,43.237997,14.764936,EMED
,J,112,M,43.237997,14.764936,EMED
,J,107,F,37.68925,16.31058,EMED
,J,88,na,37.43561,16.40533,EMED
,J,92,na,36.58025,16.06201,EMED
,J,97,na,37.64903,15.48248,EMED
,J,160,F,37.48143,15.55664,EMED
,J,83,M,37.85317,15.46875,EMED
,J,135,M,37.85317,15.46875,EMED
,J,146,F,37.95719,15.47974,EMED
,J,105,na,37.95719,15.47974,EMED
,J,98,na,37.95719,15.47974,EMED
,J,80,F,39.73479,17.10315,EMED
,J,75,M,39.54318,16.86269,EMED
,L,268,M,39.38263,17.14288,EMED
,L,226,M,38.04344,16.14269,EMED
,L,370,F,37.94,16.15,EMED
,J,85,F,39.75,16.52,EMED
,J,90,F,38.14,16.18,EMED
,J,87,M,38.14,16.18,EMED
,J,110,M,37.546,21.107,EMED
,J,109,M,37.546,21.107,EMED
,J,108,M,37.546,21.107,EMED
,J,110,F,37.546,21.107,EMED
,L,219,na,37.546,21.107,EMED
,L,310,F,38.09,23.1,EMED
,L,230,F,38.546,20.231,EMED
,L,218,F,38.546,20.231,EMED
,L,242,na,35.584,24.56,EMED
,L,184,na,35.584,24.56,EMED
,L,196,na,35.584,24.56,EMED
,L,221,F,34.902,24.516,EMED
,J,155,M,37.455,21.023,EMED
,J,174,M,37.455,21.023,EMED
,L,273,M,32.16,25.26,EMED
,L,208,F,32.26,25.42,EMED
,J,,na,32.8,24.47,EMED
,L,315,M,32.95,28.47,EMED
,L,277,M,34.25,26.33,EMED
,L,244,F,34.31,25.02,EMED
,L,,F,34.41,23.6,EMED
,L,215,F,34.42,24.21,EMED
,L,250,F,34.45,24.58,EMED
,L,290,M,34.47,24.47,EMED
,L,,F,34.5,25.5,EMED
,L,252,M,34.5,24.05,EMED
,L,,F,34.53,24.38,EMED
,L,284,F,34.58,24.35,EMED
,L,,na,34.6,23.26,EMED
,J,,na,34.67,26.93,EMED
,L,270,F,34.73,23.86,EMED
,L,219,M,34.77,24.35,EMED
,J,175,M,34.8,24.37,EMED
,L,220,F,34.87,22.72,EMED
,L,255,M,34.87,22.72,EMED
,L,,na,34.87,22.72,EMED
,L,181,F,34.91,23.12,EMED
,J,,M,35.01,23.39,EMED
,L,233,M,35.06,22.81,EMED
,L,246,M,35.08,23.85,EMED
,J,,na,35.22,26.57,EMED
,L,226,F,35.37,22.58,EMED
,L,230,M,35.37,22.58,EMED
,J,,na,35.37,22.58,EMED
,L,234,F,35.4,22.8,EMED
,L,195,F,35.53,23.2,EMED
,L,196,F,35.83,23.5,EMED
,L,207,M,36.63,23.91,EMED
,L,252,M,36.64,23.99,EMED
,L,180,F,37.05,24.35,EMED
,J,134,F,39.607,0.628,WMED
,L,195,M,39.183,3.222,WMED
,L,198,M,38.392,3.612,WMED
,L,210,F,38.901,3.028,WMED
,L,207,M,38.944,3.146,WMED
,L,188,F,38.237,1.264,WMED
,L,218,F,38.089,1.673,WMED
,J,162,M,36.456,-2.599,WMED
,J,170,M,36.436,-2.678,WMED
,J,164,M,36.436,-2.678,WMED
,J,146,M,36.445,-2.607,WMED
,J,161,F,36.445,-2.607,WMED
,J,158,F,36.416,-2.735,WMED
,L,186,M,36.421,-3.544,WMED
,J,162,F,36.303,-3.266,WMED
